text,label,class
"Officials of some of the world’s largest oil producers are scrambling to stem a sharp fall in prices over concerns that the growing coronavirus epidemic will reduce demand from China, the biggest importer.",1,1
"Twitter can’t be trusted to always be free, and it’s certainly not immune to the risks of an economic collapse caused by the coronavirus. But it’s also possible to have a more disruptive, even revolutionary, path to the future of work.",1,1
"Children wait in line for four hours to buy detergent in Havana. Some people will sleep in abandoned cars they bought for $1, they will buy sanitary napkins to scrub their hands, and others will simply buy the occasional chocolate bar.",1,1
"The pandemic has hit the hardest in Southeast Asia, causing travel disruptions, halting flights and shutting its frontier with neighboring China and Russia.",1,1
"Dr. Robert Redfield, the Food and Drug Administration’s director of the division that oversees all coronavirus vaccine doses, will leave his post at noon Eastern on Thursday, as Joseph R. Biden Jr. is sworn in as the first president.",1,1
"A case of a more contagious coronavirus variant first found in Brazil has been confirmed in Minnesota, the state’s department of health said in a statement on Monday. It is the first confirmed case of the variant in the United States.",1,1
The Chicago Teachers Union said on Tuesday that a majority of its members had voted to authorize a strike if the nation’s third-largest school district sought to force teachers back into school buildings.,1,1
"In a series of decisions, the Trump administration on Friday turned away millions of dollars in aid from two government agencies that were set to receive a portion of the proceeds from the federal government’s implementation of the $900 billion economic stimulus package that President Trump has called a “disgrace” and that has led to the postponement of major aid packages.",1,1
"Back in early January, as the coronavirus was cresting toward its summer peak, Dr. Paul Alexander, a new science adviser at the Department of Health and Human Services, suggested that the American Academy of Pediatrics review all further dissemination of the vaccine.",1,1
"The Food and Drug Administration on Tuesday will review safety and efficacy data for what may be the first Covid-19 vaccine in the United States, a process that could allow the first Americans to get a vaccine by the middle of December.",1,1
"Senator Mitch McConnell blocked an attempt by Democrats on Tuesday to hold an immediate vote on increasing stimulus checks to $2,000 from $600, leaving the fate of the measure unclear as President Trump continued to demand the larger payouts and more Republicans publicly endorsed the idea.",1,1
"When the Philippines shut down its economy in March, Helús Davao, a shopper in the central state of Luzon, was underwhelmed. “I didn’t expect to be around much longer,” he said.",1,1
"President Trump’s 30-day suspension of all entry into the United States for most Europeans, his most significant step yet in the halting effort to combat the coronavirus, accelerates his long-brewing divorce from many of America’s traditional allies.",1,1
"Senator Mitch McConnell effectively killed off any chance that Congress would increase stimulus checks to $2,000 before President Trump leaves office, saying there was “no realistic path” for the Senate to pass a stand-alone bill.",1,1
It was the apex of one of the most tumultuous weeks of Jair Bolsonaro’s presidency. A flurry of arrests and judicial orders targeting supporters of the Brazilian leader plunged the capital into crisis as the country's coronavirus caseload surpassed one million.,1,1
"President Trump said he was giving an additional $13 billion aid package of aid to America’s farmers at a campaign rally in Wisconsin on Thursday night, doling out facts to his supporters by name while unleashing a barrage of attacks on the media that were unrelenting in their bleakness.",1,1
"To some, Alaska’s announcement that it would try to entice travelers by offering Covid-19 vaccinations at its airports might signal the state’s plucky resolve and determination to revive a tourism industry that has been devastated by the pandemic.",1,1
"The Chinese government has imposed some of the world’s toughest lockdowns to stop the coronavirus. One city sealed apartment doors, leaving residents with dwindling food and medicine. One village tied a local to a tree after he left home to buy cigarettes.",1,1
A flood of mail-in ballots that will need processing. Foreign disinformation campaigns. A shortage of poll workers. And voters afraid of catching a potentially fatal disease at the ballot box.,1,1
"For 32 years, Judy Cruz has cared for patients who showed up in the emergency room in the arid, agrarian valley that straddles Mexico along the California border.",1,1
"Anand Kazi, a Pakistani architect who was abandoned in Pakistan and brought back to the United States as a religious pilgrimage, died on Dec. 13 at his home in Palm Springs, Calif. He was 88.",1,1
Countries that are moving quickly to vaccinate their populations are poised to move out of the deadliest phase of the pandemic in a matter of weeks.,1,1
"Before the pandemic, it was not unusual for Tiffany Foy and a team of other dental hygienists to visit schools in rural and urban parts of Oregon to treat the teeth of thousands of children in a year.",1,1
"Back in early January, as the coronavirus vaccine made by Pfizer and BioNTech prepared to be distributed, Dr. Kedar Deshpande had a problem. He could not use the word “vaccine” without sounding alarm, and he was sure that his patients would reject the hand-held devices, which he had personally found to be effective.",1,1
"The Centers for Medicare and Medicaid Services violated federal contracting rules when its leaders misused communications consultants to burnish the image of the agency and its chief, Seema Verma, according to the Department of Health and Human Services’s inspector general.",1,1
Security at the Florida community of The Villages will be heightened because of a looming winter storm that is expected to dump up to 16 inches of snow on the region.,1,1
"China is pushing ahead with tougher controls over its image, but the country’s leader, Xi Jinping, is also seeking to project power and assert his will over Beijing.",1,1
"In the coming days, we are rolling out major changes to the virus tracking pages that have been published multiple times a day for the past 13 months. These pages are a popular daily source of information for our readers, so we want to make sure everyone continues to find the information they need.",1,1
"In what now feels like a faded postcard from an antiquated universe, Senator Bernie Sanders was wrapping up one of his last, elbow-flailing rallies in front of a few thousand supporters at the University of Michigan. It was late on a Sunday afternoon in early March, a few days before the coronavirus would effectively shelter the 2020 presidential campaign in place, with Mr. Sanders stuck in the runner-up position.",1,1
"A Wisconsin pharmacist accused of intentionally sabotaging hundreds of Covid-19 vaccine doses will plead guilty to charges filed in federal court, the Department of Justice said on Tuesday.",1,1
Mark Meadows has officially been President Trump’s fourth White House chief of staff for less than three weeks.,1,1
"With coronavirus cases on the rise and little progress being made on fixing the economy, President Trump has taken to Twitter to make crystal clear his point.",1,1
"With the coronavirus crisis on the march through much of the country, many officials are raising a variety of concerns, including the potential for more severe disease and death.",1,1
"Providers of health care in the nation’s poorest neighborhoods are used toiling below the radar, treating chronic diseases and other ravages of poverty in places many Americans never see.",1,1
"For years, Varan Suzme has frequented the Kiral Coffeehouse near his home, where men of his Istanbul neighborhood while away hours chatting, sipping from tiny, steaming cups and playing backgammon and cards.",1,1
"With an intense flu season in full swing, hundreds of thousands of coughing and feverish patients have already overwhelmed emergency rooms around the United States. Now, hospitals are bracing for the potential spread of coronavirus that could bring another surge of patients.",1,1
Keeping your salary while caring for a quarantined child. Exercising the right to not work if you are afraid of getting ill. Sick-leave pay for up to six months.,1,1
The $2 trillion stimulus bill passed on Wednesday will send about $14 billion to colleges and universities that are hemorrhaging money as they close their campuses and try to stay afloat with distance learning.,1,1
"From her bulletproof bunker in the bleak village of Popala, Sweden, Snøhetta Karlstad, a historian of the Swedish people, wrote a letter to his wife and two children.",1,1
"More than 400,000 people in the United States who had the coronavirus have died, according to data compiled by The New York Times on Tuesday, as the anniversary of the country’s first known death in the pandemic approaches.",1,1
"Democrats returned Representative Nancy Pelosi of California to the House speakership on Sunday for the first time in more than two decades, handing her a tested leader who can navigate the complexities of running a sprawling, complex institution with a caucus of allies who collectively amount to the largest group of lawmakers in the Senate.",1,1
